# Triad S matrices (6x6) by method
# === gaussian ===
-7.175208e+00 -6.342484e-01 -3.303133e+00  1.637645e+00  8.368367e-01  2.061668e+01
-1.008926e+01  1.179507e+00 -3.509834e+00  1.380652e+00  1.526544e+00  2.279580e+01
-9.832344e-01 -5.361060e-01 -1.270177e+00  4.820387e-01 -4.204749e-01  7.938900e+00
 5.417949e-01 -1.366138e-01 -1.107665e+00 -4.376645e-02 -2.242381e-01  6.351902e+00
-7.018427e-02 -4.194934e-02 -8.044522e-01 -1.076354e-02 -7.022122e-02  3.912872e+00
-8.863939e-02  2.026293e-01 -1.755585e-01 -1.893821e-02 -4.276790e-03  5.625310e-01

# === neural ===
-4.486917e+00 -1.169346e-01 -6.463473e-01  1.443095e+00  5.043985e-01  1.442674e+00
-5.457570e+00  1.195812e+00 -5.037947e-01  9.859491e-01  8.870726e-01  9.776663e-01
-6.016804e-01 -2.651695e-01 -2.573928e-01  4.286835e-01 -2.708604e-01  4.593199e-01
-2.832440e-01  1.463987e-01 -4.763541e-01  1.802522e-01  2.892820e-02  1.437359e+00
-2.086533e-01  7.720309e-02 -3.024161e-01  9.566061e-02  7.979545e-03  5.659720e-01
-6.214533e-02  1.903899e-01 -6.493530e-02  1.923639e-02  8.729393e-03  7.578131e-02

# === finite_diff ===
-3.050743e+00 -7.758489e-01 -5.495300e-01  1.209837e+00  3.740469e-01  8.258673e-01
-3.508226e+00  9.182873e-01 -3.071658e-01  5.772242e-01  7.840313e-01  4.317518e-01
-9.582175e-01 -2.166181e-01 -2.328459e-01  4.310720e-01 -2.615223e-01  3.277357e-01
-1.889321e-01  1.442077e-01 -2.897416e-01  1.758095e-01  3.114253e-02  8.329819e-01
-1.509486e-01  3.113702e-02 -2.112176e-01  7.027646e-02  7.297418e-03  3.102760e-01
-3.162352e-02  8.415626e-02 -3.774696e-02  5.875199e-03  8.329266e-04  3.670596e-02
